num_substrates,feature_method,avg_accuracy,avg_classwise_acc,std_err_avg_acc,std_err_avg_classwise_acc,avg_precision,avg_recall,avg_f1_score
7,fasttext_sg,0.8206773618538324,0.8368027210884355,0.060884335,0.044219858659391244,0.8329931972789115,0.8368027210884355,0.8109628466771325
7,fasttext_cbow,0.8030303030303031,0.8279591836734694,0.077436569,0.060209904,0.8174829931972789,0.8279591836734693,0.807645608
7,lstm_with_attention,0.7429590017825312,0.7387414965986394,0.081087734,0.060302045666423054,0.7410997732426303,0.7387414965986394,0.7202563449622273
7,just_attention,0.7729055258467025,0.7600680272108844,0.050346331,0.064594819,0.8144444444444444,0.7600680272108843,0.7668820861678005
7,vanilla_lstm,0.8030303030303031,0.8042176870748301,0.059606948,0.069593316,0.8220408163265306,0.804217687,0.7995072387929529
7,transformer,0.844741533,0.854489796,0.041964888,0.041252432,0.869614512,0.854489796,0.847253568
8,countvectorizer,0.6932432432432433,0.6938392857142857,0.087463719,0.064967014,0.7256150793650794,0.6938392857142858,0.6739414996767938
8,doc2vec_dbow,0.775075075,0.7763095238095238,0.041766579341053954,0.052675494,0.7975595238095239,0.7763095238095238,0.7637735875235876
8,doc2vec_dm,0.577027027,0.5578869047619047,0.047118447,0.029811862832316963,0.5895833333333332,0.5578869047619047,0.5458243145743146
8,word2vec_cbow,0.7472972972972973,0.7464880952380952,0.063226586,0.068618755,0.7503273809523809,0.7464880952380952,0.7285128760128761
8,word2vec_sg,0.7803303303303303,0.7767559523809524,0.062825952,0.076738484,0.7960515873015873,0.7767559523809523,0.7715203587262411
8,fasttext_sg,0.7917417417417417,0.7911309523809524,0.045306051,0.044554933,0.8014285714285714,0.7911309523809524,0.780281524
8,fasttext_cbow,0.7696696696696697,0.755327381,0.092594568,0.1005426743481561,0.7697817460317461,0.755327381,0.7423145890057654
8,lstm_with_attention,0.7857357357357356,0.7786309523809523,0.020348531,0.029553226751934333,0.8292063492063492,0.7786309523809524,0.7814745711804536
8,just_attention,0.7138138138138138,0.6777083333333334,0.062943903,0.081632754,0.6922591991341991,0.6777083333333334,0.671983421
8,vanilla_lstm,0.7534534534534535,0.7417261904761905,0.11040131208899753,0.11598205503008757,0.7823412698412698,0.7417261904761905,0.741049298
8,transformer,0.818468468,0.798125,0.034293453,0.027878756,0.837430556,0.798125,0.795259834
9,countvectorizer,0.598974359,0.6032539682539683,0.040819997,0.051905652,0.6232716049382715,0.6032539682539682,0.575712378
9,doc2vec_dbow,0.7252564102564103,0.7255820105820106,0.065061545,0.086554507,0.7254144620811287,0.7255820105820106,0.7033408784389177
9,doc2vec_dm,0.5280769230769231,0.5353174603174603,0.079222471,0.085238407,0.5827689594356261,0.5353174603174603,0.5264897448230781
9,word2vec_cbow,0.7257692307692307,0.7139417989417989,0.044666932,0.072244633,0.7090476190476189,0.713941799,0.6810262576929244
9,word2vec_sg,0.760897436,0.7512433862433863,0.071100118,0.08323979,0.7830335097001764,0.7512433862433862,0.7359591243904969
9,fasttext_sg,0.7358974358974358,0.7219312169312169,0.072609843,0.075772267,0.7274603174603175,0.7219312169312169,0.6974007474007473
9,fasttext_cbow,0.741153846,0.7170370370370371,0.058414849,0.081217638,0.765679012,0.7170370370370371,0.7069107653421379
9,lstm_with_attention,0.6905128205128206,0.6665079365079365,0.08259973,0.10775283287912771,0.6750312650312651,0.6665079365079366,0.6439818076660182
9,just_attention,0.6997435897435896,0.6658994708994708,0.069737698,0.07197048,0.6841798941798942,0.665899471,0.6539242239242238
9,vanilla_lstm,0.6906410256410256,0.65015873,0.047223363098721764,0.054611876895649406,0.6662610229276895,0.6501587301587303,0.639622966
9,transformer,0.746410256,0.728412698,0.059136622,0.073925276,0.748917749,0.728412698,0.71572227
10,countvectorizer,0.602436323,0.6001904761904762,0.058017590830364674,0.049729119,0.6623174603174602,0.6001904761904762,0.5826825396825396
10,doc2vec_dbow,0.6827242524916943,0.6816428571428571,0.041752807356608766,0.048352237,0.6988333333333333,0.6816428571428571,0.6661133311133313
10,doc2vec_dm,0.4980066445182724,0.47904761904761906,0.067889977,0.081658718,0.4818095238095238,0.47904761904761906,0.4620184260184259
10,word2vec_cbow,0.6590254706533776,0.6356428571428572,0.046740984,0.057655862,0.6715476190476191,0.6356428571428572,0.6270179526355998
10,word2vec_sg,0.7110741971207087,0.6942142857142857,0.025449941,0.043473713,0.7325952380952381,0.6942142857142858,0.6833374403374403
10,fasttext_sg,0.7349944629014395,0.7296904761904761,0.064105733,0.078620966,0.7712619047619048,0.7296904761904761,0.7177734487734488
10,fasttext_cbow,0.673421927,0.6583095238095238,0.059689203,0.07848644,0.7047619047619047,0.6583095238095239,0.6412725607725608
10,lstm_with_attention,0.7018826135105205,0.6747857142857143,0.058171272,0.077691844,0.7271240981240982,0.6747857142857143,0.6727594763337797
10,just_attention,0.6542635658914728,0.5990714285714286,0.04693239,0.056533477,0.6783650793650794,0.5990714285714286,0.5969176281235105
10,vanilla_lstm,0.6542635658914728,0.6249285714285715,0.07016935,0.079877088,0.6873232323232323,0.6249285714285713,0.6287183825806117
10,transformer,0.720708749,0.705619048,0.037893501,0.060047713,0.747883117,0.705619048,0.689997656
11,countvectorizer,0.5743434343434344,0.546926407,0.071033446,0.070189923,0.614065444,0.5469264069264069,0.5396262204818355
11,doc2vec_dbow,0.7089898989898991,0.7029004329004329,0.071841122,0.083897187,0.7225829725829725,0.7029004329004329,0.6891396511984748
11,doc2vec_dm,0.4666666666666666,0.4453246753246754,0.048552142,0.041207335,0.4512068739341466,0.44532467532467535,0.4228932683478137
11,word2vec_cbow,0.6644444444444444,0.658917749,0.079608264,0.089262705,0.676103896,0.6589177489177489,0.6390057417330145
11,word2vec_sg,0.7314141414141413,0.7187012987012987,0.056147807327871495,0.062728654,0.7328138528138527,0.7187012987012987,0.7065808938536211
11,fasttext_sg,0.7224242424242424,0.7147619047619048,0.049770005,0.052835742,0.7335064935064934,0.7147619047619048,0.7062456735184008
11,fasttext_cbow,0.6776767676767677,0.6733116883116883,0.050939946,0.059678257,0.6924242424242425,0.6733116883116884,0.6596120041574586
11,lstm_with_attention,0.6773737373737374,0.6601948051948051,0.060022782465124255,0.088895854,0.6915918929555294,0.6601948051948052,0.6460064776515663
11,just_attention,0.6464646464646464,0.6206493506493506,0.089351985,0.11482783741115726,0.6564607110061655,0.6206493506493506,0.6094598390320315
11,vanilla_lstm,0.6773737373737374,0.6499134199134199,0.054449410391766574,0.070958621,0.6741650268922996,0.64991342,0.6361900356890504
11,transformer,0.726868687,0.703831169,0.045492016,0.044176296,0.726457431,0.703831169,0.687341803
