,high_level_substr,sig_gene_seq
177,glycosaminoglycan,"1.B.14,null,CE9,SIS|SIS,LacI,2.A.1,GntR"
178,glycosaminoglycan,"GntR,4.A.1,4.A.1,1.B.1,CE9,SIS|SIS,null"
179,glycosaminoglycan,"1.B.14,8.A.46,GH18,null,null"
180,glycosaminoglycan,"null,null,null,null,null,1.B.14,GH2,null,null"
181,glycosaminoglycan,"PL1_2,CE8,1.B.14,null,null,GH3,HTH_AraC|HTH_AraC|HTH_AraC"
182,glycosaminoglycan,"MarR,CE9,4.A.1"
183,glycosaminoglycan,"null,Glucokinase,CE9"
184,glycosaminoglycan,"null,CE9,null,GntR"
185,host glycan,"GH33,GH20,null,GH2,GH20,GH20,GH2"
186,host glycan,"GH20,TetR_N"
187,host glycan,"GH92,GH130,null,GH163,null,null,null,8.A.46,1.B.14,null,1.B.14,8.A.46,null,null,1.B.14,8.A.46,null,null,null,GH20,FecR,GerE"
188,host glycan,"null,GH29|CBM32"
189,host glycan,"GerE,FecR,1.B.14,8.A.46,GH18,null,null"
190,host glycan,"GH20,null,GH38,GH125,GH92,GH29"
191,host glycan,"PL12_1,4.A.6,4.A.6,4.A.6,GH88,4.A.6,null"
192,host glycan,"PL8,null,null,null,PfkB,null,GH88,4.A.6,4.A.6,4.A.6,4.A.6,null,PL12_1"
193,host glycan,"1.B.14,GH29,GH18,GH20,GH2,GH3,GH125,GH92,GH35"
194,host glycan,"GH92,GH130,null,GH163,null,null,null,8.A.46,1.B.14"
195,host glycan,"null,CBM32,null,null,1.B.14,null,cNMP_binding"
196,host glycan,"1.B.14,8.A.46,GH18,null"
197,host glycan,"null,null,null,null,8.A.46,1.B.14,null,null,null,1.B.14,8.A.46,GH18,null,null,GH163,null,GH130,GH92"
198,host glycan,"Fe_dep_repress,null,null,2.A.1,null,GH89,1.B.14,null,null,null,null,null,CE2"
199,host glycan,"null,null,null,null,null,null,1.B.14,null,2.A.1,GH33,GH20,null,GH2,GH20,GH20,GH2"
